20;15;
1;1;1;1;1;1;1;1;1;1;2:4;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1
1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;0;1;1;1
2:6;1;1;1;1;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0
1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;2:5
1;1;0;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1
1;1;0;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1
1;1;0;1;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1;1
1;1;0;1;0;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1
1;1;0;1;0;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1
1;1;0;1;0;1;1;1;1;1;2:7;0;1;1;1;1;1;1;1;1
